~~ pass : , 044*4591B#9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/12CACAB1B4.wav" decoded to "12CACAB14" instead of "12CACAB1B4"
~~ pass : , 0#0#830
~~ pass : , B825CA
~~ pass : , 03#6311179A0427
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/5C439#21.wav" decoded to "5C439#211" instead of "5C439#21"
~~ pass : , 9A0CC
~~ pass : , 565A3#054570A0A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/369B*80*6#4*C.wav" decoded to "369B*0*6#4*C" instead of "369B*80*6#4*C"
~~ pass : , 7C9#C9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C64*59265A.wav" decoded to "C64*59265" instead of "C64*59265A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/A692*A103*6681.wav" decoded to "AA692*A103*6681" instead of "A692*A103*6681"
~~ pass : , 114*553#A633
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/**9C#*63.wav" decoded to "**9C*3" instead of "**9C#*63"
~~ pass : , 3094979888A3
~~ pass : , 96B8A75*56882#
~~ pass : , 6406C2
~~ pass : , 129028*A6#AA*6*
~~ pass : , *C7906B0
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/A9C271#*7A2#3*3AB55.wav" decoded to "A9C2711#**7A2#3*3AB55" instead of "A9C271#*7A2#3*3AB55"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/31773102BBB1CC7**65.wav" decoded to "31773102BBB11CC7**65" instead of "31773102BBB1CC7**65"
~~ pass : , A4282597*#7A238
~~ pass : , 564B95
~~ pass : , #4*A71A15
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/3#C69057A6904B3C.wav" decoded to "33#C69057A690B3" instead of "3#C69057A6904B3C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/48*4703#0550C5*A.wav" decoded to "48*4703##0550C5*A" instead of "48*4703#0550C5*A"
~~ pass : , B*28C#545
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/48CB83A*B8556.wav" decoded to "48CB83A*8556" instead of "48CB83A*B8556"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/328*62#C5*9.wav" decoded to "3328*62#C5*9" instead of "328*62#C5*9"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/AC77*0251894310.wav" decoded to "A77*0251894310" instead of "AC77*0251894310"
~~ pass : , 96724A#23B0
~~ pass : , 5390713619B
~~ pass : , 79#CC53ACB00*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C4C#6A69081#4.wav" decoded to "C4#6A69081#4" instead of "C4C#6A69081#4"
~~ pass : , B#7C70*C891A1AC
~~ pass : , C5AA*
~~ pass : , 66715C83325
~~ pass : , 72*99B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/12B95AC27863359*226.wav" decoded to "1295AC2786359*2226" instead of "12B95AC27863359*226"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/7013B07478B9.wav" decoded to "7013B0478B9" instead of "7013B07478B9"
~~ pass : , 939BA8
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/5*07#40BB88B#C2811.wav" decoded to "*07#0BB8B#C2811" instead of "5*07#40BB88B#C2811"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/1B4263#36852041996.wav" decoded to "1B4263#3682041996" instead of "1B4263#36852041996"
~~ pass : , 738#7#B28447*3*3
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/335C*73A6*69BB56.wav" decoded to "335C*73A*69BB56" instead of "335C*73A6*69BB56"
~~ pass : , #B0324
~~ pass : , B*264A72B6*5##4
~~ pass : , 07B15419#8A
~~ pass : , A540CCBB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/1BA*0#BCBA7*8879.wav" decoded to "1BA*0#BCBA7**8879" instead of "1BA*0#BCBA7*8879"
~~ pass : , 819271
~~ pass : , 7287C36C40B29
~~ pass : , 929704C9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/6C*62A6*2325C.wav" decoded to "C*62A6*23325C" instead of "6C*62A6*2325C"
~~ pass : , 45213##35B80
~~ pass : , 2*89#6#5B476232C50
~~ pass : , C#5CA*92865C6134*0*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/980715A*2B.wav" decoded to "98015A*2" instead of "980715A*2B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/247835A84B8112C280.wav" decoded to "2478335A84B8112C280" instead of "247835A84B8112C280"
~~ pass : , BA0856*8364
~~ pass : , 5CA506BC1*2C8B5A*
~~ pass : , 01B05B1
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/#B58*1.wav" decoded to "#B8*1" instead of "#B58*1"
~~ pass : , 33527C4BCB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/72B55.wav" decoded to "2B55" instead of "72B55"
~~ pass : , ##C86*770#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C43A8*1B025#1*38.wav" decoded to "C43A8*1025#1*38" instead of "C43A8*1B025#1*38"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/B#A69875B.wav" decoded to "B#A6987B" instead of "B#A69875B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/43#A4#76*.wav" decoded to "43#4#76*" instead of "43#A4#76*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/41A4149.wav" decoded to "41A41149" instead of "41A4149"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/05028A3#711#92A8162.wav" decoded to "0502A3#7111#92A8162" instead of "05028A3#711#92A8162"
~~ pass : , 389#21066BBBC46
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/82*0384B0.wav" decoded to "82*03840" instead of "82*0384B0"
~~ pass : , 17371A#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0C485B#675#5B2*2*1B.wav" decoded to "0C485B#675#5B2*2*1" instead of "0C485B#675#5B2*2*1B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/8C89B.wav" decoded to "8C9B" instead of "8C89B"
~~ pass : , C*#1C9*C*B5C5A#416
~~ pass : , 85#*AA3A9
~~ pass : , 42A6306
~~ pass : , 263#647
~~ pass : , 03417
~~ pass : , 3B0A95*4242A#C349*3
~~ pass : , CC710951210
~~ pass : , 38914B83A590#
~~ pass : , #0*80039
~~ pass : , A9A796CA26*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/320*C6#54A*#7AC.wav" decoded to "320**C6#54A*#7AC" instead of "320*C6#54A*#7AC"
~~ pass : , 69A#B8
~~ pass : , 44575A8A
~~ pass : , 9#AA9A8B52CB
~~ pass : , B#49078A42
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/418186B0.wav" decoded to "418180" instead of "418186B0"
~~ pass : , 93505295#A7
~~ pass : , 499A4BC
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/038B21B2954B3.wav" decoded to "038B211954B3" instead of "038B21B2954B3"
~~ pass : , A#8B2073075A420*3C#
~~ pass : , B869*132A277A848A**
~~ pass : , 9*7#C072BA21C
~~ pass : , B92#2#6774
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/83670C#13023305#.wav" decoded to "8370C#130233005#" instead of "83670C#13023305#"
~~ pass : , AC*41
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/44832087ABC#6#6831.wav" decoded to "44832087ABC#6#681" instead of "44832087ABC#6#6831"
~~ pass : , 8#6*5
~~ pass : , 5514B01
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*A853C9B17C.wav" decoded to "*A53C9B17C" instead of "*A853C9B17C"
~~ pass : , 3145#53A37*
~~ pass : , *A8C5
~~ pass : , 76B0262#43A1488*CB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/83A5359.wav" decoded to "83A359" instead of "83A5359"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/43*C82B3000.wav" decoded to "43*C822B3000" instead of "43*C82B3000"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C#*AC6*AB*04#2B.wav" decoded to "C#*AC6*A**04#2B" instead of "C#*AC6*AB*04#2B"
~~ pass : , #89900
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C0C5C4B7.wav" decoded to "C0CC4B7" instead of "C0C5C4B7"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/65580.wav" decoded to "6580" instead of "65580"
~~ pass : , #A*14A79#C#32
~~ pass : , A788594BC59B
~~ pass : , 3B16#7*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/BC*968*03A65#B5B.wav" decoded to "C*968*03A65#B5B" instead of "BC*968*03A65#B5B"
~~ pass : , #A358491C
~~ pass : , B32#151C#007
~~ pass : , *CB858535A636
~~ pass : , 2*42771#CB1
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0#43438769B0#9.wav" decoded to "0#4348769B09" instead of "0#43438769B0#9"
~~ pass : , 5CA41*04A6058
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/34A728C8*810.wav" decoded to "34A728C8810" instead of "34A728C8*810"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/#0*6#102A#A42CA.wav" decoded to "#0*#102A#A42CA" instead of "#0*6#102A#A42CA"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/2685BAACC00BC*757C.wav" decoded to "285BAAC00BC*757C" instead of "2685BAACC00BC*757C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/16999CCB73*686.wav" decoded to "116999CCB73*686" instead of "16999CCB73*686"
~~ pass : , 7*BC#8C**6
~~ pass : , A5C246
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/A6245B2B*69345#.wav" decoded to "A6245B2B*69345##" instead of "A6245B2B*69345#"
~~ pass : , 0A1A407993A8350A1A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*027A955299.wav" decoded to "*02A955299" instead of "*027A955299"
~~ pass : , A085*#3A7#1C
~~ pass : , 88371
~~ pass : , CBA6B47985
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/84C495C986046715.wav" decoded to "84495C98604671" instead of "84C495C986046715"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/20#611#B6244.wav" decoded to "20#611##6244" instead of "20#611#B6244"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/281C9#A12044C80A8.wav" decoded to "2811C9#A11204C80A8" instead of "281C9#A12044C80A8"
~~ pass : , 8A53472
~~ pass : , 89B38627C5C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/B0*#3B655AC1#5B00.wav" decoded to "0*#3655AC1#5B000" instead of "B0*#3B655AC1#5B00"
~~ pass : , 9A799
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/9B7B*4141B.wav" decoded to "97B*4141B" instead of "9B7B*4141B"
~~ pass : , ##05C92322552
~~ pass : , 2C41#418AC8#0AA364B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/790#7#826.wav" decoded to "790#7826" instead of "790#7#826"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/544*0#869CC184#C3*#.wav" decoded to "54*0#869CC184#C3**#" instead of "544*0#869CC184#C3*#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/44*261849BA12.wav" decoded to "44*21849BA12" instead of "44*261849BA12"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0*C99A1*6.wav" decoded to "0*C9A1*6" instead of "0*C99A1*6"
~~ pass : , 3730844610CA4#B#0B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*#230#05C915C#C.wav" decoded to "*#230#0C91#C" instead of "*#230#05C915C#C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/538*72*7*B97#A.wav" decoded to "538*727*B97#A" instead of "538*72*7*B97#A"
~~ pass : , 8C1B2**9
~~ pass : , 4*88535162B4525
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/A718266936#A.wav" decoded to "A71182669336#A" instead of "A718266936#A"
~~ pass : , B758166C73BB
~~ pass : , 3B798*
~~ pass : , 27#5A72426
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/878*98*92528A6A.wav" decoded to "878*98*92528A6AA" instead of "878*98*92528A6A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/84481.wav" decoded to "841" instead of "84481"
~~ pass : , 3918148B
~~ pass : , 8A77#89CC3378B82
~~ pass : , 9**159C9AC30#07835
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/3408A6A99A.wav" decoded to "3408A6AA99A" instead of "3408A6A99A"
~~ pass : , C36A4B23
~~ pass : , 3BA817
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/56220C5B*.wav" decoded to "62200C5B*" instead of "56220C5B*"
~~ pass : , 408A61C4310
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/69B6C7#02104AAB#8.wav" decoded to "96C7#02104AAB#" instead of "69B6C7#02104AAB#8"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/#124174C91BB6555*4.wav" decoded to "#112474C91BB55*4" instead of "#124174C91BB6555*4"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/34BA*0.wav" decoded to "34A*0" instead of "34BA*0"
~~ pass : , 466BC7
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*9*92*A.wav" decoded to "**2*A" instead of "*9*92*A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0*57BB347#AB1.wav" decoded to "0*5BB47#AB1" instead of "0*57BB347#AB1"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/23C28A#3#7.wav" decoded to "23C8A#3#7" instead of "23C28A#3#7"
~~ pass : , 2357989*58#3CC
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*A9344*C40*9894A.wav" decoded to "*A93344*C40*9894A" instead of "*A9344*C40*9894A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/A489B76594*6C.wav" decoded to "A489B7594*6C" instead of "A489B76594*6C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/5982*544.wav" decoded to "592*44" instead of "5982*544"
~~ pass : , 686826#60514B6
~~ pass : , 809C901#6A382#58
~~ pass : , *3927
~~ pass : , 8*15871A31*2728A7A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/365#73A.wav" decoded to "65#73A" instead of "365#73A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*C*85A94C984B113B.wav" decoded to "*C*85A94C98B113B" instead of "*C*85A94C984B113B"
~~ pass : , #380B66A9597
~~ pass : , 4A*B0CC958A1B#4
~~ pass : , 775789857*A#5C7A2
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/47#527641113.wav" decoded to "4#527641113" instead of "47#527641113"
~~ pass : , 188340*C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/296#46B889274#9810*.wav" decoded to "29#46B889274#910*" instead of "296#46B889274#9810*"
~~ pass : , *A53434452C93
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/43702247B4737.wav" decoded to "437022247B4737" instead of "43702247B4737"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/07B03B7.wav" decoded to "07B07" instead of "07B03B7"
~~ pass : , B21C*7C3B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/185*716792#77774.wav" decoded to "185*71692#77774" instead of "185*716792#77774"
~~ pass : , 8CC07*C011550A6
~~ pass : , 6B0#0#894#*C36B#3
~~ pass : , 9AA472#409
~~ pass : , #599A#4#*C66#67
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/B495B737.wav" decoded to "B495B37" instead of "B495B737"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/121692.wav" decoded to "1211692" instead of "121692"
~~ pass : , 09AB57C4827C7A#75C
~~ pass : , 42962789B799#0C#B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/9380#4C56B950.wav" decoded to "9380#4CB950" instead of "9380#4C56B950"
~~ pass : , 2B32B07#38116610
~~ pass : , 8*B5C649*2*5B4#0
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*64A3A614B63B.wav" decoded to "*4A3A614B633B" instead of "*64A3A614B63B"
~~ pass : , B*8C9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/#45*CCB30#A*371C29.wav" decoded to "#45*CC30#A*371C29" instead of "#45*CCB30#A*371C29"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*396783C5822912.wav" decoded to "*3967835822912" instead of "*396783C5822912"
~~ pass : , B5C8C#4#9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/12*##3*9AA92CA.wav" decoded to "12*##3*9AA92A" instead of "12*##3*9AA92CA"
~~ pass : , BB3B37430#3A57
~~ pass : , *BA2C54#C#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/85BB900*127#.wav" decoded to "85B900*127#" instead of "85BB900*127#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/3940080.wav" decoded to "940080" instead of "3940080"
~~ pass : , #B8A5*2
~~ pass : , 34338
~~ pass : , 1338AC
~~ pass : , *6#768
~~ pass : , A299814B1CC7B
~~ pass : , 0C2BA9A4*423CAA*5A
~~ pass : , #1A2#9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/07A*916#3B4448#2108.wav" decoded to "07A*916#3B448#2108" instead of "07A*916#3B4448#2108"
~~ pass : , 90A79B76CB
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0BA9121*5297B*C0B78.wav" decoded to "0BA9121*5297B*C078" instead of "0BA9121*5297B*C0B78"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/59#7BCA12*C51B#C5C5.wav" decoded to "59#7BC12*C51B#C5C5" instead of "59#7BCA12*C51B#C5C5"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C8C#956403A3853*7.wav" decoded to "C8C#956403A383*7" instead of "C8C#956403A3853*7"
~~ pass : , 49B55134A2#0B61850
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/1788121174#8894C5.wav" decoded to "11788121174#8894C5" instead of "1788121174#8894C5"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/49A08CB79B#A2#9C3.wav" decoded to "A08CB79B#A2#9C3" instead of "49A08CB79B#A2#9C3"
~~ pass : , 43AA2616B**8
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/#BA02*3C1C#0009.wav" decoded to "#BA02**31C#0009" instead of "#BA02*3C1C#0009"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/568104#6020C3780093.wav" decoded to "568104##60203780093" instead of "568104#6020C3780093"
~~ pass : , 081*06C8*
~~ pass : , 46#5AA#6581C3C4A94*
~~ pass : , BC60*3*3CC06804*
~~ pass : , #5516
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/#*93B625835AAB205*.wav" decoded to "#*93B625835AAA205*" instead of "#*93B625835AAB205*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/*2B33C4772C.wav" decoded to "*2B33C472C" instead of "*2B33C4772C"
~~ pass : , 3C250752830A1A
~~ pass : , C2562C8
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/664A839726908A429.wav" decoded to "664AA839726908A429" instead of "664A839726908A429"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0#C2610#85B*B.wav" decoded to "0#C2610#8B*B" instead of "0#C2610#85B*B"
~~ pass : , 2C*11B543B6
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/41C*9247*C76*1*A#3C.wav" decoded to "41C*947*C76*1*A#3" instead of "41C*9247*C76*1*A#3C"
~~ pass : , C7314C0*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/2*C8A32C236#264A.wav" decoded to "2*CA32C236#264" instead of "2*C8A32C236#264A"
~~ pass : , *CA6#3654389BC21#90
~~ pass : , 5C828C50*6#*071A3
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/14C*41125A7#15*3*2.wav" decoded to "14C*4112A7#15*3*2" instead of "14C*41125A7#15*3*2"
~~ pass : , CA6#3452A
~~ pass : , 0A#*7929
~~ pass : , *7B51#
~~ pass : , 9B8*48014C32#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/6#93*9BC8A*90C0*8#A.wav" decoded to "6#93**9BC8A*900*8#A" instead of "6#93*9BC8A*90C0*8#A"
~~ pass : , B054*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/522#06CB7A.wav" decoded to "2206CB7A" instead of "522#06CB7A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/0#0C1.wav" decoded to "0#01" instead of "0#0C1"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/658977A4#57.wav" decoded to "658977A#57" instead of "658977A4#57"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/C5119.wav" decoded to "C51119" instead of "C5119"
~~ pass : , 614#A8
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/5979876.wav" decoded to "597986" instead of "5979876"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/CC961*3771457428A.wav" decoded to "CC961*371457428A" instead of "CC961*3771457428A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/A*644A3A17*A83.wav" decoded to "A*644A3A1*A83" instead of "A*644A3A17*A83"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-10dBm to -3dBm/287C8130956#70#610.wav" decoded to "287C13095##70#610" instead of "287C8130956#70#610"
